Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
C,C,CC,CC1,1,NA,0.00657,HB
C,C,CC,CC1,2,NA,0.00694,HB
C,C,CC,CC1,3,NA,0.00673,HB
C,C,CC,CC1,4,NA,0.00713,HB
C,C,CC,CC1,5,NA,0.00689,HB
C,C,CC,CC1,6,NA,0.00701,HB
C,C,CC,CC1,7,NA,0.00696,HB
C,C,CC,CC1,8,NA,0.00661,HB
C,C,CC,CC1,9,NA,0.00638,HB
C,C,CC,CC1,10,NA,0.00676,HB
C,C,CC,CC1,11,NA,0.00685,HB
C,C,CC,CC1,12,NA,0.00737,HB
C,C,CC,CC1,13,NA,0.00679,HB
C,C,CC,CC1,14,NA,0.00637,HB
C,C,CC,CC1,15,NA,0.00688,HB
C,C,CC,CC1,16,NA,0.00716,HB
C,C,CC,CC1,17,NA,0.00674,HB
C,C,CC,CC1,18,NA,0.00693,HB
C,C,CC,CC1,19,NA,0.00667,HB
C,C,CC,CC1,20,NA,0.00688,HB
C,C,CC,CC1,21,NA,0.00682,HB
C,C,CC,CC1,22,NA,0.00713,HB
C,C,CC,CC1,23,NA,0.00678,HB
C,C,CC,CC1,24,NA,0.0067,HB
C,C,CC,CC1,25,NA,0.00711,HB
C,C,CC,CC1,26,NA,0.00704,HB
C,C,CC,CC1,27,NA,0.00677,HB
C,C,CC,CC1,28,NA,0.00681,HB
C,C,CC,CC1,29,NA,0.007,HB
C,C,CC,CC1,30,NA,0.00682,HB
C,C,CC,CC1,31,NA,0.00718,HB
C,C,CC,CC1,32,NA,0.00701,HB
C,C,CC,CC1,33,NA,0.00684,HB
C,C,CC,CC1,34,NA,0.00689,HB
C,C,CC,CC1,35,NA,0.00676,HB
C,C,CC,CC2,1,NA,0.00697,HB
C,C,CC,CC2,2,NA,0.00653,HB
C,C,CC,CC2,3,NA,0.00697,HB
C,C,CC,CC2,4,NA,0.00705,HB
C,C,CC,CC2,5,NA,0.00686,HB
C,C,CC,CC2,6,NA,0.00713,HB
C,C,CC,CC2,7,NA,0.00633,HB
C,C,CC,CC2,8,NA,0.0068,HB
C,C,CC,CC2,9,NA,0.00657,HB
C,C,CC,CC2,10,NA,0.00713,HB
C,C,CC,CC2,11,NA,0.00694,HB
C,C,CC,CC2,12,NA,0.0066,HB
C,C,CC,CC2,13,NA,0.00677,HB
C,C,CC,CC2,14,NA,0.00666,HB
C,C,CC,CC2,15,NA,0.00658,HB
C,C,CC,CC2,16,NA,0.00704,HB
C,C,CC,CC2,17,NA,0.00736,HB
C,C,CC,CC2,18,NA,0.00677,HB
C,C,CC,CC2,19,NA,0.00689,HB
C,C,CC,CC2,20,NA,0.00654,HB
C,C,CC,CC2,21,NA,0.0067,HB
C,C,CC,CC2,22,NA,0.00678,HB
C,C,CC,CC2,23,NA,0.00725,HB
C,C,CC,CC2,24,NA,0.00691,HB
C,C,CC,CC2,25,NA,0.00698,HB
C,C,CC,CC2,26,NA,0.00689,HB
C,C,CC,CC2,27,NA,0.00664,HB
C,C,CC,CC2,28,NA,0.00733,HB
C,C,CC,CC2,29,NA,0.00714,HB
C,C,CC,CC2,30,NA,0.0072,HB
